epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.213,0.98503,1.77529,1.30824,0.64615,0.77143,0.67351,0.48514,0.92008,1.40976,1.46838,0.000664198,0.000664198,0.000664198
2,274.469,1.14296,1.4046,1.41465,0.60339,0.73333,0.66819,0.47548,1.02949,1.68825,1.60087,0.00131769,0.00131769,0.00131769
3,405.797,1.16752,1.33803,1.43324,0.47685,0.68571,0.54297,0.35225,1.03506,1.77231,1.57569,0.00195798,0.00195798,0.00195798
4,538.106,1.16463,1.28853,1.43606,0.66241,0.7619,0.69688,0.52646,0.88283,1.08776,1.36476,0.0019406,0.0019406,0.0019406
5,670.112,1.11116,1.21337,1.39914,0.6279,0.79048,0.71922,0.55493,0.81071,0.97046,1.37697,0.0019208,0.0019208,0.0019208
6,801.373,1.06702,1.1389,1.36354,0.72319,0.77143,0.72549,0.59448,0.73682,0.86274,1.25178,0.001901,0.001901,0.001901
7,935.46,1.05627,1.11818,1.35107,0.68911,0.81905,0.75827,0.60053,0.73655,0.97863,1.26927,0.0018812,0.0018812,0.0018812
8,1068.58,1.02504,1.08059,1.31621,0.73786,0.8,0.82309,0.66465,0.65941,0.81763,1.17671,0.0018614,0.0018614,0.0018614
9,1199.5,1.00912,1.0413,1.30973,0.67459,0.81905,0.75612,0.63868,0.70424,0.78326,1.26946,0.0018416,0.0018416,0.0018416
10,1331.06,0.99032,1.0247,1.30052,0.75946,0.78095,0.81382,0.66392,0.74112,0.8789,1.24477,0.0018218,0.0018218,0.0018218
11,1460.36,0.96295,0.97314,1.29103,0.71222,0.82496,0.79142,0.66124,0.6392,0.7493,1.1793,0.001802,0.001802,0.001802
12,1589.88,0.9668,0.97056,1.28959,0.70841,0.85612,0.81739,0.65376,0.73015,0.74138,1.24547,0.0017822,0.0017822,0.0017822
13,1719.86,0.96112,0.97767,1.28146,0.72001,0.87619,0.81248,0.62941,0.7508,0.69012,1.28382,0.0017624,0.0017624,0.0017624
14,1851.25,0.95273,0.96786,1.27271,0.72368,0.80952,0.77541,0.68027,0.57491,0.73359,1.15161,0.0017426,0.0017426,0.0017426
15,1982.22,0.92276,0.92751,1.25558,0.77689,0.82909,0.81821,0.66283,0.66848,0.68117,1.19114,0.0017228,0.0017228,0.0017228
16,2113.2,0.93068,0.9285,1.25463,0.78445,0.8381,0.85533,0.70351,0.64358,0.65386,1.13969,0.001703,0.001703,0.001703
17,2243.79,0.92055,0.91214,1.24847,0.74504,0.86276,0.83302,0.68564,0.64751,0.6685,1.16301,0.0016832,0.0016832,0.0016832
18,2374.79,0.90703,0.89331,1.24398,0.74733,0.8381,0.84516,0.72371,0.57678,0.67672,1.13943,0.0016634,0.0016634,0.0016634
19,2505.31,0.91071,0.89033,1.24685,0.72496,0.82839,0.81721,0.6845,0.64169,0.70653,1.17435,0.0016436,0.0016436,0.0016436
20,2635.04,0.90886,0.88331,1.23671,0.77117,0.86657,0.87295,0.75233,0.58344,0.62029,1.12167,0.0016238,0.0016238,0.0016238
21,2764.76,0.90957,0.87845,1.24376,0.77915,0.8381,0.83746,0.73204,0.53142,0.65027,1.09327,0.001604,0.001604,0.001604
22,2893.24,0.89287,0.85966,1.23627,0.77214,0.80952,0.83981,0.69835,0.61186,0.69163,1.16314,0.0015842,0.0015842,0.0015842
23,3022.4,0.8848,0.85882,1.22088,0.72889,0.85714,0.84202,0.72011,0.57615,0.60907,1.09359,0.0015644,0.0015644,0.0015644
24,3151.76,0.88048,0.85702,1.2156,0.75645,0.8381,0.84496,0.73134,0.55767,0.63864,1.0849,0.0015446,0.0015446,0.0015446
25,3281.59,0.8792,0.84544,1.21887,0.7935,0.76855,0.8503,0.72959,0.5324,0.65623,1.107,0.0015248,0.0015248,0.0015248
26,3412.85,0.88157,0.84108,1.22047,0.74139,0.81911,0.82986,0.69435,0.61805,0.64735,1.14603,0.001505,0.001505,0.001505
27,3540.64,0.87452,0.83174,1.21988,0.78658,0.84246,0.86685,0.7366,0.5318,0.61769,1.11601,0.0014852,0.0014852,0.0014852
28,3669.19,0.86549,0.82661,1.21541,0.80032,0.83977,0.86513,0.75005,0.5432,0.60975,1.10804,0.0014654,0.0014654,0.0014654
29,3797.56,0.86369,0.82077,1.2083,0.76139,0.82857,0.8524,0.74986,0.51565,0.62655,1.09686,0.0014456,0.0014456,0.0014456
30,3926.18,0.86143,0.82482,1.20183,0.74912,0.88158,0.86802,0.72468,0.61517,0.60657,1.13538,0.0014258,0.0014258,0.0014258
31,4055.76,0.85876,0.81868,1.20618,0.81194,0.81905,0.85826,0.74199,0.54746,0.60815,1.1032,0.001406,0.001406,0.001406
32,4185.71,0.84815,0.79866,1.20049,0.85541,0.79048,0.89493,0.7495,0.57769,0.58776,1.1212,0.0013862,0.0013862,0.0013862
33,4315.14,0.84726,0.80597,1.19774,0.80237,0.81905,0.88792,0.76713,0.54377,0.55637,1.10197,0.0013664,0.0013664,0.0013664
34,4445.63,0.84422,0.78168,1.19414,0.78088,0.84762,0.87986,0.75876,0.54834,0.58045,1.09921,0.0013466,0.0013466,0.0013466
35,4574.62,0.84453,0.78674,1.19513,0.80199,0.81007,0.87973,0.75831,0.56577,0.5817,1.09912,0.0013268,0.0013268,0.0013268
36,4703.65,0.82823,0.76748,1.18352,0.81161,0.82857,0.88809,0.7746,0.54267,0.58123,1.10492,0.001307,0.001307,0.001307
37,4832.14,0.84201,0.77448,1.18909,0.7486,0.87619,0.86661,0.74341,0.58669,0.59988,1.10795,0.0012872,0.0012872,0.0012872
38,4961.47,0.8417,0.77686,1.19204,0.7667,0.81905,0.8773,0.76081,0.53819,0.60583,1.09423,0.0012674,0.0012674,0.0012674
39,5089.52,0.82686,0.77717,1.18434,0.80133,0.84513,0.87428,0.75821,0.50983,0.5607,1.09175,0.0012476,0.0012476,0.0012476
40,5219.11,0.83491,0.76201,1.18625,0.77631,0.85714,0.88539,0.77057,0.50619,0.5671,1.07416,0.0012278,0.0012278,0.0012278
41,5351.16,0.82441,0.74929,1.18419,0.78437,0.83146,0.84887,0.74149,0.51502,0.60212,1.07124,0.001208,0.001208,0.001208
42,5482.65,0.81802,0.76273,1.18242,0.79267,0.83746,0.86289,0.75679,0.55405,0.60514,1.10518,0.0011882,0.0011882,0.0011882
43,5613.52,0.81062,0.73667,1.17333,0.79441,0.8096,0.87346,0.76984,0.50922,0.56778,1.05952,0.0011684,0.0011684,0.0011684
44,5744.29,0.81796,0.74778,1.17771,0.79063,0.82857,0.86702,0.77014,0.50565,0.62594,1.07543,0.0011486,0.0011486,0.0011486
45,5874.32,0.81838,0.73244,1.17514,0.78908,0.81947,0.89195,0.79215,0.50648,0.56125,1.05423,0.0011288,0.0011288,0.0011288
46,6004.3,0.81822,0.73331,1.17693,0.85665,0.8381,0.89747,0.77302,0.519,0.56155,1.05599,0.001109,0.001109,0.001109
47,6134.67,0.80424,0.72746,1.16175,0.83257,0.79048,0.87252,0.76414,0.51932,0.56994,1.03189,0.0010892,0.0010892,0.0010892
48,6263.57,0.81185,0.73348,1.1738,0.83044,0.84762,0.88732,0.76964,0.50775,0.54224,1.06843,0.0010694,0.0010694,0.0010694
49,6392.78,0.80819,0.72514,1.16925,0.8019,0.8381,0.8858,0.77837,0.52145,0.5638,1.07348,0.0010496,0.0010496,0.0010496
50,6525.3,0.79373,0.70998,1.16252,0.8635,0.80952,0.88064,0.75972,0.53267,0.57816,1.07317,0.0010298,0.0010298,0.0010298
51,6657.28,0.79103,0.70497,1.16846,0.79219,0.87137,0.89157,0.76582,0.56645,0.54123,1.10337,0.00101,0.00101,0.00101
52,6786.94,0.806,0.72527,1.16238,0.7891,0.8381,0.87555,0.78542,0.49009,0.56135,1.03715,0.0009902,0.0009902,0.0009902
53,6917.53,0.78841,0.70711,1.15881,0.78367,0.86252,0.88463,0.78507,0.49917,0.55726,1.04136,0.0009704,0.0009704,0.0009704
54,7050.1,0.78311,0.69584,1.15544,0.81751,0.8381,0.87832,0.76123,0.55056,0.59531,1.09508,0.0009506,0.0009506,0.0009506
55,7180.15,0.78155,0.70748,1.15527,0.81242,0.8,0.873,0.77613,0.49115,0.58762,1.04209,0.0009308,0.0009308,0.0009308
