epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4614,0.62623,2.25035,1.16553,0.00327,0.98095,0.64733,0.50128,0.65522,2.7461,1.20222,0.00044,0.00044,0.00044
2,28.4774,0.74203,1.60472,1.24424,0.72635,0.57143,0.69506,0.53326,0.86174,2.40616,1.53229,0.00089109,0.00089109,0.00089109
3,41.8911,0.8946,1.59865,1.36709,0.57141,0.46983,0.49978,0.35324,0.95084,2.52336,1.6624,0.00133307,0.00133307,0.00133307
4,55.4962,0.89157,1.51402,1.32316,0.49588,0.58095,0.48029,0.29705,1.29424,2.39203,2.25293,0.00176595,0.00176595,0.00176595
5,69.0244,0.93746,1.47638,1.39113,0.52889,0.49524,0.44928,0.23039,1.67856,2.31504,2.87185,0.0019208,0.0019208,0.0019208
6,82.8351,0.89033,1.34582,1.32245,0.4008,0.50476,0.36228,0.23332,1.16906,2.56802,1.90914,0.001901,0.001901,0.001901
7,96.2313,0.9091,1.31162,1.36462,0.35733,0.54286,0.37815,0.23536,1.12151,2.05753,1.74188,0.0018812,0.0018812,0.0018812
8,109.221,0.91297,1.31997,1.35898,0.40438,0.54286,0.40359,0.2654,1.13954,1.90989,1.90107,0.0018614,0.0018614,0.0018614
9,121.998,0.90939,1.26764,1.34705,0.54578,0.5619,0.46796,0.23622,1.52988,2.42691,2.38962,0.0018416,0.0018416,0.0018416
10,134.968,0.84184,1.13883,1.2772,0.5028,0.71429,0.5228,0.34885,1.02438,2.39679,1.57265,0.0018218,0.0018218,0.0018218
11,148.303,0.85936,1.14304,1.31678,0.45315,0.70476,0.53419,0.38625,0.91992,1.84865,1.46485,0.001802,0.001802,0.001802
12,161.338,0.86046,1.09482,1.31016,0.61841,0.71429,0.63831,0.48516,0.86097,1.32485,1.4362,0.0017822,0.0017822,0.0017822
13,174.463,0.80884,1.03551,1.26798,0.66522,0.71429,0.66106,0.49331,0.82923,1.21929,1.43173,0.0017624,0.0017624,0.0017624
14,187.644,0.77778,0.96153,1.24248,0.5816,0.70476,0.59905,0.43499,1.00571,1.45003,1.63127,0.0017426,0.0017426,0.0017426
15,200.916,0.77937,1.0208,1.25475,0.64895,0.73946,0.64651,0.50668,0.8019,1.17116,1.33203,0.0017228,0.0017228,0.0017228
16,214.074,0.791,1.00958,1.25712,0.64658,0.74925,0.68534,0.48194,0.96526,1.20762,1.65828,0.001703,0.001703,0.001703
17,227.187,0.7441,1.00464,1.21387,0.64848,0.77305,0.69904,0.56467,0.7332,1.06466,1.28887,0.0016832,0.0016832,0.0016832
18,240.196,0.73002,0.90001,1.22522,0.6446,0.68571,0.65461,0.51391,0.92131,1.37126,1.52839,0.0016634,0.0016634,0.0016634
19,253.313,0.79161,0.99941,1.24457,0.57019,0.78095,0.67912,0.52373,0.74969,1.20188,1.28553,0.0016436,0.0016436,0.0016436
20,266.361,0.70258,0.87794,1.18537,0.64271,0.7367,0.73362,0.58868,0.75634,1.09492,1.32607,0.0016238,0.0016238,0.0016238
21,279.236,0.70345,0.83165,1.21028,0.66938,0.6749,0.72571,0.5512,0.76864,1.15797,1.33249,0.001604,0.001604,0.001604
22,292.207,0.68678,0.87416,1.17595,0.67237,0.70364,0.67405,0.54814,0.70104,1.03136,1.24881,0.0015842,0.0015842,0.0015842
23,305.23,0.6833,0.87067,1.18731,0.69362,0.71155,0.73651,0.59625,0.65867,1.04178,1.20467,0.0015644,0.0015644,0.0015644
24,318.203,0.67848,0.80852,1.17158,0.6863,0.8,0.7266,0.57181,0.71826,1.09522,1.28652,0.0015446,0.0015446,0.0015446
25,331.265,0.64776,0.83127,1.14627,0.62811,0.77143,0.7605,0.64415,0.64255,0.9189,1.19421,0.0015248,0.0015248,0.0015248
26,344.455,0.62743,0.77958,1.14206,0.69975,0.73333,0.75028,0.63574,0.66285,0.93872,1.17946,0.001505,0.001505,0.001505
27,357.638,0.6323,0.78022,1.15181,0.64707,0.7619,0.69156,0.57292,0.71737,1.05361,1.25245,0.0014852,0.0014852,0.0014852
28,370.584,0.6567,0.79704,1.16237,0.70167,0.75238,0.69586,0.58453,0.63041,0.90947,1.18218,0.0014654,0.0014654,0.0014654
29,383.636,0.61778,0.78782,1.13246,0.76181,0.73106,0.74009,0.62045,0.7091,0.97454,1.23662,0.0014456,0.0014456,0.0014456
30,396.485,0.60691,0.73771,1.14361,0.67963,0.80952,0.77288,0.63045,0.68639,0.92982,1.21236,0.0014258,0.0014258,0.0014258
31,409.397,0.58298,0.72994,1.11993,0.65217,0.78095,0.77127,0.655,0.61016,0.88558,1.18146,0.001406,0.001406,0.001406
32,422.445,0.57152,0.70952,1.0935,0.70847,0.57862,0.68114,0.51491,0.70598,1.0071,1.24356,0.0013862,0.0013862,0.0013862
33,435.374,0.64196,0.78054,1.11227,0.64299,0.7619,0.68854,0.57138,0.65264,0.94211,1.18184,0.0013664,0.0013664,0.0013664
34,448.43,0.60178,0.72966,1.11625,0.73565,0.75238,0.78341,0.65317,0.72118,0.88703,1.30812,0.0013466,0.0013466,0.0013466
35,461.383,0.60595,0.69556,1.12771,0.67851,0.84762,0.79433,0.67085,0.61695,0.88212,1.16991,0.0013268,0.0013268,0.0013268
36,474.444,0.58637,0.7058,1.10467,0.77183,0.69524,0.77839,0.65267,0.64704,0.9026,1.18264,0.001307,0.001307,0.001307
37,487.283,0.56276,0.69274,1.09165,0.68681,0.75238,0.7507,0.61202,0.67686,0.92225,1.24117,0.0012872,0.0012872,0.0012872
38,500.207,0.55773,0.68439,1.09446,0.69676,0.7619,0.76527,0.61668,0.689,0.86942,1.21232,0.0012674,0.0012674,0.0012674
39,513.241,0.54719,0.65725,1.07993,0.77555,0.73333,0.80311,0.66415,0.65543,0.87458,1.2074,0.0012476,0.0012476,0.0012476
40,526.172,0.54883,0.65241,1.07411,0.70011,0.7782,0.78314,0.6835,0.60227,0.82622,1.133,0.0012278,0.0012278,0.0012278
41,539.117,0.5324,0.63973,1.05537,0.63187,0.82857,0.79661,0.67676,0.54769,0.7731,1.09397,0.001208,0.001208,0.001208
42,552.112,0.51902,0.61706,1.07227,0.75249,0.79048,0.81029,0.67393,0.58172,0.82031,1.13441,0.0011882,0.0011882,0.0011882
43,565.166,0.52153,0.6404,1.05445,0.65441,0.88571,0.79115,0.68312,0.56954,0.79368,1.11717,0.0011684,0.0011684,0.0011684
44,578.275,0.53868,0.64602,1.0833,0.62599,0.86667,0.82467,0.69771,0.63639,0.77763,1.18644,0.0011486,0.0011486,0.0011486
45,591.324,0.55418,0.63096,1.10799,0.70774,0.77143,0.77379,0.67067,0.57072,0.85462,1.11294,0.0011288,0.0011288,0.0011288
46,604.394,0.55982,0.66058,1.10475,0.70857,0.81044,0.81331,0.6788,0.61835,0.81055,1.15397,0.001109,0.001109,0.001109
47,617.461,0.53052,0.64875,1.08155,0.7251,0.80387,0.80974,0.69917,0.54213,0.76257,1.074,0.0010892,0.0010892,0.0010892
48,630.6,0.49253,0.5805,1.04317,0.70925,0.77143,0.79462,0.69215,0.54446,0.79523,1.08703,0.0010694,0.0010694,0.0010694
49,643.352,0.48168,0.59986,1.04671,0.72067,0.75238,0.79692,0.6716,0.58631,0.81801,1.14423,0.0010496,0.0010496,0.0010496
50,656.446,0.49197,0.59837,1.06808,0.68414,0.82513,0.78495,0.67966,0.53158,0.81671,1.08562,0.0010298,0.0010298,0.0010298
51,669.43,0.49556,0.59711,1.06462,0.66884,0.84762,0.80516,0.69245,0.49677,0.73549,1.04224,0.00101,0.00101,0.00101
52,682.415,0.4954,0.56916,1.05791,0.65234,0.84762,0.79139,0.6881,0.53418,0.76327,1.08071,0.0009902,0.0009902,0.0009902
53,695.535,0.50075,0.58737,1.04256,0.6892,0.76029,0.71408,0.61625,0.55753,0.89153,1.10875,0.0009704,0.0009704,0.0009704
54,708.603,0.50739,0.57861,1.05947,0.6514,0.69524,0.70454,0.58316,0.77777,1.02862,1.27691,0.0009506,0.0009506,0.0009506
55,721.595,0.5041,0.58269,1.06203,0.66175,0.81981,0.78921,0.66973,0.62332,0.83816,1.14859,0.0009308,0.0009308,0.0009308
56,734.571,0.47621,0.55424,1.04488,0.6421,0.82016,0.775,0.67848,0.53232,0.8268,1.07147,0.000911,0.000911,0.000911
57,747.796,0.46387,0.52469,1.02939,0.65494,0.70498,0.74361,0.63132,0.58661,0.98559,1.11005,0.0008912,0.0008912,0.0008912
58,760.779,0.47768,0.56281,1.03957,0.64699,0.81905,0.79656,0.68281,0.56634,0.77138,1.117,0.0008714,0.0008714,0.0008714
59,773.847,0.46368,0.54698,1.0231,0.65865,0.84762,0.80802,0.70851,0.52932,0.74964,1.06825,0.0008516,0.0008516,0.0008516
60,786.88,0.48534,0.57293,1.04177,0.75125,0.7619,0.79686,0.70834,0.48871,0.75277,1.02019,0.0008318,0.0008318,0.0008318
61,800.045,0.44449,0.5338,1.02113,0.63758,0.86667,0.81142,0.7078,0.55317,0.76077,1.10166,0.000812,0.000812,0.000812
62,813.14,0.44823,0.52559,1.0214,0.71774,0.79918,0.81193,0.70963,0.52929,0.75437,1.09205,0.0007922,0.0007922,0.0007922
63,826.043,0.44429,0.49708,1.03933,0.72183,0.80952,0.83797,0.71642,0.53754,0.72384,1.07577,0.0007724,0.0007724,0.0007724
64,839.18,0.4466,0.54066,1.01034,0.74297,0.69524,0.78882,0.70192,0.51247,0.811,1.04948,0.0007526,0.0007526,0.0007526
65,852.178,0.41864,0.51702,1.01251,0.71596,0.80952,0.82715,0.73027,0.48594,0.7502,1.04061,0.0007328,0.0007328,0.0007328
66,865.243,0.40731,0.45793,1.002,0.71461,0.8,0.82917,0.7169,0.49117,0.71814,1.01284,0.000713,0.000713,0.000713
67,877.981,0.43885,0.49591,1.02559,0.74426,0.74838,0.79885,0.71219,0.48774,0.79261,1.02255,0.0006932,0.0006932,0.0006932
68,891.143,0.43771,0.49323,1.01905,0.7729,0.78095,0.82105,0.72311,0.54027,0.72927,1.08578,0.0006734,0.0006734,0.0006734
69,904.434,0.42664,0.49301,1.01469,0.76478,0.78095,0.83437,0.74501,0.51066,0.672,1.0787,0.0006536,0.0006536,0.0006536
70,918.024,0.4177,0.47426,0.99866,0.82123,0.74378,0.81784,0.72561,0.53134,0.70218,1.07167,0.0006338,0.0006338,0.0006338
71,930.093,0.4148,0.48021,1.00289,0.80588,0.77143,0.82112,0.73304,0.49943,0.73202,1.04438,0.000614,0.000614,0.000614
72,942.038,0.41795,0.47965,1.01188,0.78484,0.76431,0.81456,0.72445,0.49567,0.74725,1.05664,0.0005942,0.0005942,0.0005942
73,953.524,0.38631,0.47532,0.98845,0.73162,0.75291,0.81937,0.71302,0.54821,0.76523,1.11866,0.0005744,0.0005744,0.0005744
74,965.3,0.38563,0.44683,0.97494,0.70236,0.79048,0.8075,0.71008,0.53362,0.74871,1.08676,0.0005546,0.0005546,0.0005546
75,977.025,0.43285,0.49023,1.01802,0.8205,0.74011,0.82205,0.72747,0.49679,0.70113,1.04463,0.0005348,0.0005348,0.0005348
76,989.65,0.4048,0.44235,0.99696,0.74837,0.79312,0.82588,0.72408,0.49382,0.74176,1.05968,0.000515,0.000515,0.000515
77,1002.44,0.39719,0.48495,1.00477,0.72073,0.80952,0.82362,0.7352,0.4921,0.73702,1.04063,0.0004952,0.0004952,0.0004952
78,1015.19,0.41464,0.44812,0.99542,0.86854,0.61905,0.81652,0.71242,0.52941,0.74117,1.06559,0.0004754,0.0004754,0.0004754
